ID,Case Number,Date,Block,IUCR,PrimaryType,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,CoordinateX,CoordinateY,Year,Updated On,Latitude,Longitude,Location
11621266,JC182143,08/28/2018 12:01:00 AM,003XX N LA SALLE DR,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,STREET,false,false,1831,018,42,8,11,,,2018,03/13/2019 04:11:31 PM,,,
11621000,JC182964,12/22/2018 10:00:00 AM,055XX N OLCOTT AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,false,true,1613,016,41,10,26,,,2018,03/13/2019 04:11:31 PM,,,
11620981,JC183177,02/05/2018 12:00:00 PM,055XX S PRAIRIE AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,false,false,0231,002,20,40,11,,,2018,03/13/2019 04:11:31 PM,,,
11620927,JC183043,01/01/2018 12:00:00 PM,027XX W 84TH ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,0835,008,18,70,11,,,2018,03/13/2019 04:11:31 PM,,,
11620924,JC183079,08/25/2018 08:00:00 AM,032XX S MAY ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,false,false,0913,009,11,60,11,,,2018,03/13/2019 04:11:31 PM,,,
11620632,JC182783,12/15/2018 09:00:00 AM,014XX E 79TH ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,0411,004,8,45,11,,,2018,03/13/2019 04:11:31 PM,,,
11620621,JC182797,02/22/2018 05:00:00 PM,048XX S LAMON AVE,1585,SEX OFFENSE,OTHER,RESIDENCE,false,true,0814,008,22,56,17,,,2018,03/13/2019 04:11:31 PM,,,
23843,JB166417,02/26/2018 07:04:00 PM,000XX E 118TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,HOUSE,true,false,0532,005,9,53,01A,,,2018,03/13/2019 04:02:26 PM,,,
11481027,JB380692,08/05/2018 04:45:00 PM,002XX E BALBO DR,2025,NARCOTICS,POSS: HALLUCINOGENS,PARK PROPERTY,false,false,0114,001,42,32,18,,,2018,03/13/2019 04:11:31 PM,,,
11479183,JB302105,06/11/2018 09:25:00 AM,003XX S KILBOURN AVE,0820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,false,false,1131,011,28,26,06,,,2018,03/13/2019 04:11:31 PM,,,
11437172,JB401127,08/20/2018 11:00:00 AM,033XX W FILLMORE ST,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,POLICE FACILITY/VEH PARKING LOT,false,false,1134,011,24,29,18,,,2018,03/13/2019 04:11:31 PM,,,
11437134,JB378991,08/04/2018 01:35:00 PM,003XX E RANDOLPH ST,2025,NARCOTICS,POSS: HALLUCINOGENS,PARK PROPERTY,false,false,0114,001,42,32,18,,,2018,03/13/2019 04:11:31 PM,,,
